α	Pr	α
ἀπίστωι	A-	ἀπίστωι
ἁπλοῦς	A-	ἁπλόος
Ἀπό	R-	ἀπό
ἀπὸ	R-	ἀπό
ἀφ’	R-	ἀπό
ἀποβλέπον	V-	ἀποβλέπον
ἀπολιπὼν	V-	ἀπολείπω
ἀπονοστήσας	V-	ἀπονοστέω
ἀπόξενος	A-	ἀπόξενος
ἀποπρό	R-	ἀποπρό
ἀπορίαι	Nb	ἀπορίας
ἀποσπάσας	V-	ἀποσπάζω
Ἀποσπάσας	V-	Ἀποσπάζω
ἀποτίνου	Ne	ἀποτίνου
ἀποφυγεῖν	V-	ἀποφεύγω
ἀπώλεσ	V-	ἀπώλεσ
ἀπωλόμεσθα	V-	ἀπωλόμεσθα
ἀρά	Nb	ἀρά
ἀρὰς	Nb	ἀρά
ἄρ	Df	ἄρα
ἄρα	Df	ἆρα
ἄραρεν	V-	ἀραρίσκω
Ἀργείαι	A-	Ἀργείος
Ἀργείους	A-	ἀργεῖος
Ἀργείων	A-	ἀργεῖος
Ἀργείας	Ne	Ἀργεῖος
Ἄργει	Ne	Ἄργος
ἄρειος	A-	ἄρειος
ἀρείων	A-	ἀρείων
ἀρήγετ	V-	ἀρήγετ
ἀρήγει	V-	ἀρήγω
Ἄρεος	Ne	ἄρης
ἀρίστοισιν	A-	ἄριστοισν
ἀρίσταν	A-	ἀρίστος
ἄριστα	A-	ἄριστος
ἀρίστης	A-	ἄριστος
ἀρκέσει	V-	ἀρκέσει
ἀρκοῦμεν	V-	ἀρκέω
ἁρμάτων	Nb	ἁρμάτων
ἁρμόσει	V-	ἁρμόζω
ἁρπαγῆς	Nb	ἁρπαγή
ἁρπάζητε	V-	ἁρπάζω
ἄρρητ	A-	ἄρρητ
ἀρρήτων	A-	ἀρρήτων
Ἀρτέμιδι	Ne	ἄρτεμις
ἀρχηγέτα	Nb	ἀρχηγέτα
ἀρωγοὺς	A-	ἀρωγός
ἀς	R-	ἀς
ἀσεβεῖ	A-	ἀσεβής
ἀσεβῶν	A-	ἀσεβής
ἀσθενεστέροις	A-	ἀσθενής
ἀσκεῖ	V-	ἀσκέω
ἀσκοῦντ	V-	ἀσκοῦντ
ἀστεργάνορα	A-	ἀστεργάνορος
ἀστοῖς	Nb	ἀστός
ἄστροις	Nb	ἄστρον
ἀσχημονῆσαί	V-	ἀσχημονέω
Ἀσωπιάδες	Nb	Ἀσωπιάς
ἅτ	R-	ἅτ
ἀτὰρ	Df	ἀτάρ
ἀτελῆ	A-	ἀτελής
ἀτενεῖς	A-	ἀτενής
ἄτας	Nb	ἄτη
ἀτιμάσῃς	V-	ἀτιμάζω
ἀτίται	Nb	ἀτίτης
Ἀτρέως	Nb	ἀτρεύς
ἀτταταῖ	V-	ἀτταταῖ
αὐγάς	Nb	αὐγάς
Ηὐδᾶτο	V-	αὐδάω
αὔλιον	Nb	αὔλιον
αὐξάνεται	V-	αὐξάνεται
αὔρας	Nb	αὔρας
ἀυτεῖ	V-	ἀυτέω
αὐτά	Pd	αὐτός
αὐτὰ	Pp	αὐτός
ἀφεγγὲς	A-	ἀφεγγής
ἀφείλεθ	V-	ἀφείλεθ
ἄφερκτος	Df	ἄφερκτος
ἄφερτα	A-	ἄφερτος
ἀφηγεῖσθαι	V-	ἀφηγέομαι
ἀφθόνῳ	A-	ἄφθονος
ἀφήσω	V-	ἀφίημι
ἀφικνεῖται	V-	ἀφικνεῖται
Ἀχαιῶν	A-	ἀχαιός
ἄχεσιν	Nb	ἄχεσιν
ἄχη	Nb	ἄχη
ἀχρεῖον	A-	ἀχρεῖος
βαδιστὴς	Nb	βαδιστής
βάθει	Nb	βάθει
Βακτρίων	A-	βάκτριος
Βάκτριά	Ne	Βάκτριος
βαλεῖν	V-	βαλεῖν
βαλῶ	V-	βάλλω
βάρβαρ	A-	βάρβαρ
βαρβάροις	Nb	βάρβαρος
βαρβάροις	A-	βάρβαρος
βαρβάροισι	Nb	βάρβαρος
βαρβάρου	A-	βάρβαρος
βαρβάρους	A-	βάρβαρος
βαρβάρῳ	A-	βάρβαρος
βαρβάρωι	A-	βαρβάρωι
βάρος	Nb	βάρος
βαρείας	A-	βαρύς
βασιλεῖ	Nb	βασιλεῖ
βασιλείους	A-	βασιλείους
βασιλεῖ	Nb	βασιλεύς
βασιλεῦ	Nb	βασιλεύς
βασιλεῦσιν	Nb	βασιλεύς
Βατανώχου	Ne	Βατανώχος
βάτεαι	V-	βάτεαι
βεβηκόσιν	v-prpamd-	βεβήξω
βεβώσας	v-prpafa-	βεβόω
βέλτατα	a-p---nas	βέλς
βέλτατον	a-s---nns	βέλς
βελτίους	a-p---ma-	βελτῖος
βίαι	Nb	βία
βίαι	Nb	βίαι
βιαίως	Df	βίαιος
βιοτά	Nb	βιοτά
βιοτᾶς	Nb	βιοτᾶς
βλάβηι	Nb	βλάβη
βλαστάνει	V-	βλαστάνω
βλέψαντα	v-sapama-	βλέπω
βλέψας	v-sapamn-	βλέπω
βλέψασα	v-sapafn-	βλέπω
βλεφά	Nb	βλεφά
μολόντα	v-sapama-	βλώσκω
βοὰ	V-	βοὰ
βοὰ	n-s---fn-	βοή
βοὰν	v--pna---	βοή
βοάς	n-p---fa-	βοή
βοηδρομήσας	v-sapamn-	βοηδρομέω
βοηθήσαντα	v-sapama-	βοηθέω
βολάς	n-p---fa-	βολή
βολὰς	n-p---fa-	βολή
βόα	V-	βόος
βορὰν	n-s---fa-	βορή
βοσκὰς	n-p---fa-	βοσκή
βοστρύχους	n-p---ma-	βοστρῦχος
βοστρύχων	n-p---mg-	βοστρῦχος
βοτὰ	n-p---na-	βοτόν
βοτὰ	Nb	βοτόν
βουθύτοισι	A-	βουθύτοισι
βοΐ	n-s---fd-	βοῦς
βουσὶ	n-p---md-	βοῦς
βραχίονα	Nb	βραχίονα
βράχιστ	A-	βράχιστ
βραχεῖ	A-	βραχύς
βρέτας	n-p---fa-	βρές
βρέτας	n-p---fa-	βρέτη
βρέτας	Nb	βρέτη
βρέτας	n-s---fn-	βρέτης
βρέτας	n-p---fa-	βρέτης
Βρομίωι	A-	Βρομίω
Βρομί	a-d---mn-	Βρομς
βροτησίων	A-	βροτησῖος
βρυχᾶτο	V-	βρυχάω
βύρσης	Nb	βύρση
βώμιοι	A-	βώμιος
γάλακτι	Nb	γάλακτι
γαλανείαι	A-	γαλανείος
γαμεῖς	V-	γαμέω
γαμεῖσθαι	V-	γαμέω
γαμή	Nb	γαμή
γάμοις	Nb	γάμοις
γάρ	Df	γάρ
γὰρ	Df	γάρ
γεγωνὰ	V-	γεγωνὰ
γενεθλίου	a-s---mg-	γενεθλῖος
γενέθλα	n-p---nv-	γενέθλον
γενέτα	n-s---mv-	γενέτης
γενέταν	n-s---ma-	γενέτης
γενέτας	n-s---mn-	γενέτης
γενναία	A-	γενναῖος
γεραιὰ	A-	γεραιός
Γερηνίου	A-	Γερήνιος
γὰν	n-s---fa-	γή
γαθεῖν	v--ana---	γθήσκω
γνώμαν	n-s---fa-	γνώμη
γνώμας	n-p---fa-	γνώμη
