token	tag	lemma	macron	source
ἀγασθῆναι	v--anp---	ἀγασθῆναι	^1	wiktionary
ἀγάστονοι	a-p---mv-	ἀγάστονοι		
ἀγαστός	a-s---mn-	ἀγαστός		
ἀγαστὸς	a-s---mn-	ἀγαστός		barytone
Ἀγαυή	a-s---fn-	ἀγαυή		
Ἀγαυὴ	a-s---fn-	ἀγαυή		hypotactic,barytone
Ἀγαυή	a-s---fn-	Ἀγαυή		
Ἀγαυῆς	n-s---fg-	Ἀγαυῆ		
Ἀγαυήν	a-s---fa-	ἀγαυός		
Ἀγαυὴν	a-s---fa-	ἀγαυός		hypotactic,barytone
ἀγαυοῖς	a-p---md-	ἀγαυός	^1	hypotactic
Ἀγαυή	a-s---fd-	Ἀγαυός		
Ἀγαυή	a-s---fn-	Ἀγαυός		
Ἀγαυήν	a-s---fa-	Ἀγαυός		
ἀγῶν’	v-sppamn-	ἀγάω		
ἀγῶν’	n-s---ma-	ἀγάω		
Ἀγβατάνων	n-p---mg-	Ἀγβάτανα	^4^6	hypotactic
ἀγγάρου	n-s---ng-	ἀγγάρου	^4	wiktionary
ἀγγείλαι	v--ana---	ἀγγείλαι		
ἀγγεῖλαι	v--ana---	ἀγγεῖλαί		
ἀγγείλατ’	v2pama---	ἀγγείλατ		
ἀγγείλαιμεν	v1paoa---	ἀγγείλω		
ἀγγείλειεν	v3saoa---	ἀγγείλω		
ἀγγελῶ	v1sfia---	ἀγγείλω		
ἀγγελεῖ	v3sfia---	ἀγγελέω		
ἀγγελεῖν	v--ana---	ἀγγελέω		
ἀγγελοῦμεν	v1pfia---	ἀγγελέω		
ἀγγελοῦντα	v-sppama-	ἀγγελέω	^10	breve_ultima
ἀγγελῶν	n-p---mg-	ἀγγελή		
ἀγγελθεῖσα	v-sappfn-	ἀγγελθεῖσά	^10	wiktionary
ἀγγελίαν	n-s---fa-	ἀγγελία	^6_7	wiktionary
ἀγγελίας	n-p---fa-	ἀγγελία	^6_7	hypotactic
ἀγγελίας	n-s---fg-	ἀγγελία	^6_7	hypotactic
ἄγγελλ’	a-s---mv-	ἄγγελλ		
ἄγγελλ’	n-p---na-	ἄγγελλ		
ἀγγέλλειν	v--pna---	ἀγγέλλειν		
ἀγγέλλεις	v2spia---	ἀγγέλλεις		
ἀγγέλλεται	v3spie---	ἀγγέλλεται		
ἀγγέλλοιτο	v3spoe---	ἀγγέλλομαι		
ἀγγέλλοντε	v2ppia---	ἀγγέλλοντέ		
ἀγγέλλουσ’	v-sppafn-	ἀγγέλλουσ		
ἀγγεῖλαι	v--ana---	ἀγγέλλω		
ἀγγείλας	v-sapamn-	ἀγγέλλω	_7	wiktionary
ἀγγείλῃς	v2sasa---	ἀγγέλλω		
ἄγγειλον	v2sama---	ἀγγέλλω		
ἀγγείλω	v1sasa---	ἀγγέλλω		
ἀγγελεῖ	v3sfia---	ἀγγέλλω		
ἄγγελλε	v2sama---	ἀγγέλλω		
ἄγγελλε	v2spma---	ἀγγέλλω		
ἀγγέλλει	v3spia---	ἀγγέλλω		
ἀγγέλλει	v3sfia---	ἀγγέλλω		
ἀγγέλλειν	v--pna---	ἀγγέλλω		
ἀγγέλλεις	v2spia---	ἀγγέλλω		
ἀγγέλλεται	v3spie---	ἀγγέλλω		
ἀγγέλλοις	v2saoa---	ἀγγέλλω		
ἀγγέλλομαι	v1spie---	ἀγγέλλω		
ἀγγέλλοντας	v-pppama-	ἀγγέλλω	^10	breve_ultima
ἀγγέλλουσα	v-sppafn-	ἀγγέλλω	^10	wiktionary
ἀγγέλλουσι	v3ppia---	ἀγγέλλω	^10	wiktionary
ἀγγέλλω	v1sfia---	ἀγγέλλω		
ἀγγέλλωμεν	v1ppsa---	ἀγγέλλω		
ἀγγέλλων	v-sppamn-	ἀγγέλλω		
ἀγγέλλων	v-sppamn-	ἀγγέλλων		
ἄγγελμ’	n-s---na-	ἄγγελμ		
ἀγγέλμασιν	n-p---nd-	ἀγγέλμα	^9	breve_ultima
ἀγγέλματα	n-p---na-	ἀγγέλματα	^9	breve_ultima
ἀγγελμάτων	n-p---ng-	ἀγγελμάτων		
ἄγγελοι	u--------	ἄγγελοι		
ἀγγελῶν	n-p---mg-	ἀγγελός		
ἀγγέλοισι	n-p---md-	ἄγγελος	^9	wiktionary
ἄγγελον	n-s---ma-	ἄγγελος		
ἄγγελος	n-s---mn-	ἄγγελος		
ἄγγελος	n-s---fn-	ἄγγελος		
ἀγγέλου	n-s---mg-	ἄγγελος	^1	wiktionary
ἀγγέλους	n-p---ma-	ἄγγελος		
ἀγγέλων	n-p---fg-	ἄγγελος		
ἀγγέλων	n-p---mg-	ἄγγελος		
ἀγγέλου	u--------	ἀγγέλου	^1	wiktionary
ἀγγέλωι	n-s---md-	ἀγγέλωι		
ἀγγελῶν	n-p---mg-	ἀγγελῶν		
ἀγγελῶν	u--------	ἀγγελῶν		
ἀγγέλων	u--------	ἀγγέλων		
ἄγγει	n-s---nd-	ἄγγος	^1	wiktionary
ἄγγος	n-s---na-	ἄγγος	^1	wiktionary
ἄγγος	n-s---nn-	ἄγγος	^1	wiktionary
ἀγδαβάται	n-p---mn-	ἀγδαβάτης		
ἄγε	d--------	ἄγε	^1	wiktionary
Ἄγε	d--------	ἄγε		
ἄγετε	v2ppma---	ἄγε	^1	wiktionary
ἄγει	v3spia---	ἄγει	^1	wiktionary
ἄγειν	v--pna---	ἄγειν	^1	wiktionary
ἄγειος	a-s---mn-	ἄγειος		
ἀγείραντος	v-sapamg-	ἀγείραντός		
ἀγείρασ’	v-sapafn-	ἀγείρασ		
ἀγείρας	v-sapamn-	ἀγείρω	^1_6	hypotactic
ἀγείρω	v1spia---	ἀγείρω	^1	wiktionary
ἄγεις	v2spia---	ἄγεις	^1	wiktionary
ἀγείτονος	a-s---mg-	ἀγείτων	^1	hypotactic
ἀγείτων	v-sppamn-	ἀγείτων		
ἀγέλαι	n-p---fn-	ἀγέλα	^1	hypotactic
ἀγέλαις	n-p---fd-	ἀγέλα	^1	hypotactic
ἀγέλαν	n-s---fa-	ἀγέλα	^1	hypotactic
ἀγελαῖα	a-p---na-	ἀγελαῖος	^7	wiktionary
ἀγελαίας	a-p---fa-	ἀγελαῖος	_5_7	ifthimos
ἀγελάστοις	a-p---fd-	ἀγελάστοις		
ἀγέλαστα	a-p---na-	ἀγέλαστος	^8	breve_ultima
ἀγέλαις	a-p---fd-	ἀγέλη	^1	hypotactic
ἀγέλας	n-p---fa-	ἀγέλη	^1_5	hypotactic
ἁγεμόνευμα	n-s---na-	ἁγεμόνευμα	^10	breve_ultima
ἁγεμών	v-sppamn-	ἁγεμὼ		
ἁγεμὼν	v-sppamn-	ἁγεμὼ		hypotactic,barytone
ἁγεμόνες	n-p---mn-	ἁγεμών	_1	hypotactic
ἀγένητον	a-s---na-	ἀγένητος		
ἀγέννητος	a-s---mn-	ἀγέννητος		
ἀγεννήτων	a-p---mg-	ἀγεννήτων		
ἀγεννῶς	d--------	ἀγεννός		
ἀγέραστον	a-s---na-	ἀγέραστος	^1	hypotactic
ἀγέραστον	a-s---ma-	ἀγέραστος	^1	hypotactic
ἄγετ’	v2ppma---	ἄγετ		
ἄγετε	v2ppma---	ἄγετέ	^1	wiktionary
ἄγευστος	a-s---mn-	ἄγευστος		
ἁγεῖται	v3spie---	ἁγέω		
ἄγῃ	v3spsa---	ἄγῃ	^1	wiktionary
ἅγησαι	v--ana---	ἅγηζω		
ἄγηι	v3spsa---	ἄγηι		
ἀγῆλαι	v--ana---	ἀγῆλαι		
Ἀγηνοριδᾶν	n-s---ma-	Ἀγηνοριδᾶς		
Ἀγήνορος	n-s---mg-	Ἀγήνορος	^1	hypotactic
ἀγήνορες	a-p---mn-	ἀγήνωρ	^1	hypotactic
Ἀγήνορος	n-s---mg-	ἀγήνωρ	^1	hypotactic
ἀγήρων	a-p---mg-	ἀγήραος	^1	hypotactic
ἀγήρατον	a-s---na-	ἀγήρατος		
ἀγήρως	a-s---mn-	ἀγήρως	^1	hypotactic
ἅγησαι	v--ana---	ἅγησαί		
ἁγήτωρ	n-s---mn-	ἁγήτωρ	_1	wiktionary
ἁγίζων	v-sppamn-	ἁγίζω		
ἁγιστευεικαί	v3spia---	ἁγιστευεικαί		
ἁγιστεύεικαι	v3spia---	ἁγιστεύεικαὶ		
ἄγκαθεν	d--------	ἄγκαθεν	^4	wiktionary
ἀγκάλαισι	n-p---fd-	ἀγκάλαισι	^9	breve_ultima
ἀγκάλας	n-p---fa-	ἀγκάλας	^1^4_6	wiktionary
ἀγκαλέσαιτ’	v3saom---	ἀγκαλέσαιτ		
ἀγκαλέσωμαι	v3spme---	ἀγκαλέσωμαι		
ἀγκάλαι	n-p---fn-	ἀγκάλη	^1^4	wiktionary
ἀγκάλαις	n-p---fd-	ἀγκάλη	^1^4	wiktionary
ἀγκάλαισι	n-p---fd-	ἀγκάλη	^9	breve_ultima
ἀγκάλας	n-p---fa-	ἀγκάλη	^1^4_6	wiktionary
ἀγκάλη	n-s---fd-	ἀγκάλη	^1^4	wiktionary
ἀγκλαίω	a-s---md-	ἀγκλαίω		
ἄγκος	n-s---nn-	ἄγκος	^1	wiktionary
ἀγκρεμασθῆι	v--rne---	ἀγκρεμασθῆι		
ἄγκρισιν	n-s---fa-	ἄγκρισις	^7	breve_ultima
ἀγκυλῶν	n-p---fg-	ἀγκυλή		
ἀγκύλας	n-p---fa-	ἀγκύλη	^4_6	wiktionary
ἀγκυλωτοῖς	a-p---nd-	ἀγκυλωτοῖς		
ἄγκυρ’	v3spia---	ἄγκυρ		
ἄγκυρα	n-s---fn-	ἄγκυρα	_4^6	wiktionary,breve_ultima
ἄγκυραν	n-s---fa-	ἄγκυρα	_4^6	wiktionary
ἀγκύρας	n-p---fa-	ἄγκυρα	_4_6	wiktionary
ἀγκυρουχίαις	n-p---fd-	ἀγκυρουχίη		
ἀγκῶνας	n-p---ma-	ἀγκών	^6	wiktionary
ἀγκώνων	n-p---mg-	ἀγκών		
ἀγκῶσι	n-p---md-	ἀγκών	^6	wiktionary
ἀγκῶν’	n-s---ma-	ἀγκῶν		
ἀγλαΐαι	n-p---fd-	ἀγλαία	^4^5	hypotactic
ἀγλαΐας	n-s---fg-	ἀγλαία	^4^5_6	ifthimos
ἀγλαΐαις	n-p---fd-	ἀγλαΐη	^4^5	hypotactic
ἀγλάισμ’	n-s---na-	ἀγλάισμ		
ἀγλάισμα	n-s---nn-	ἀγλάισμα	_1^4^5^8	nominal,manual
ἀγλάισμα	n-s---na-	ἀγλάισμα	_1^4^5^8	nominal,manual
ἀγλάϊσμα	n-s---na-	ἀγλάισμα	_1^4^5^8	breve_ultima,manual
ἀγλαϊσμάτων	n-p---ng-	ἀγλαϊσμάτων	_1^4^5^8	manual
ἀγλαάς	a-p---fa-	ἀγλαός	_1^4_5	wiktionary
ἀγλαὰς	a-p---fa-	ἀγλαός	_1^4_5	ifthimos,barytone
ἀγλαόν	a-s---fa-	ἀγλαός	_1^4	wiktionary
ἀγλαὸν	a-s---fa-	ἀγλαός	_1^4	barytone
Ἀγλαυρίσιν	a-p---fd-	Ἀγλαυρίσιν		
